Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),       albite,    anorthite,     sanidine
1,865.13,2.500,-11.941,23.7415,2.6319,57.1071,0.0000,27.2054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1196,6.2475,0.3204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-392.437,-333.298,51.955,9.021,28.613,0.543368,0.438298,0.018333
2,865.14,2.500,-11.941,23.7410,2.6319,57.1070,0.0000,27.2054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1196,6.2475,0.3204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-392.428,-333.290,51.954,9.021,28.612,0.543366,0.438301,0.018333
3,864.87,2.450,-11.951,23.7158,2.6318,57.0918,0.0000,27.2160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1319,6.2414,0.3189,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-392.045,-332.993,51.891,9.011,28.581,0.542847,0.438905,0.018249
4,864.87,2.450,-11.951,23.7152,2.6318,57.0918,0.0000,27.2161,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1320,6.2413,0.3189,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-392.036,-332.985,51.890,9.011,28.580,0.542844,0.438908,0.018248
5,864.60,2.400,-11.961,23.6897,2.6317,57.0764,0.0000,27.2267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1443,6.2351,0.3174,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-391.648,-332.683,51.826,9.002,28.548,0.542321,0.439515,0.018164
6,864.60,2.400,-11.961,23.6891,2.6317,57.0764,0.0000,27.2268,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1444,6.2351,0.3174,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-391.638,-332.675,51.825,9.001,28.548,0.542318,0.439518,0.018163
7,864.33,2.350,-11.971,23.6633,2.6316,57.0610,0.0000,27.2375,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1568,6.2288,0.3159,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-391.245,-332.368,51.761,8.992,28.515,0.541792,0.440130,0.018078
8,864.33,2.350,-11.971,23.6627,2.6316,57.0609,0.0000,27.2375,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1569,6.2288,0.3159,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-391.236,-332.360,51.760,8.992,28.515,0.541789,0.440133,0.018078
9,864.06,2.300,-11.981,23.6367,2.6315,57.0454,0.0000,27.2483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1694,6.2225,0.3144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-390.837,-332.050,51.695,8.982,28.482,0.541259,0.440748,0.017993
10,864.06,2.300,-11.980,23.6360,2.6315,57.0453,0.0000,27.2484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1695,6.2225,0.3144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-390.827,-332.041,51.693,8.982,28.481,0.541255,0.440752,0.017993
